strategy_id,entry_time,exit_time,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
C,2024-01-01T00:28:00+00:00,2024-01-01T00:29:00+00:00,long,100.37340700754426,100.3884188918062,4.0,4.0,1.0,binary_win
C,2024-01-01T00:29:00+00:00,2024-01-01T00:30:00+00:00,long,100.3884188918062,100.43071041104318,1.0,1.0,1.0,binary_win
C,2024-01-01T00:30:00+00:00,2024-01-01T00:31:00+00:00,long,100.43071041104318,100.48018191781054,1.0,1.0,1.0,binary_win
C,2024-01-01T00:31:00+00:00,2024-01-01T00:32:00+00:00,long,100.48018191781054,100.42231056273755,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:32:00+00:00,2024-01-01T00:33:00+00:00,long,100.42231056273755,100.36601364543561,2.0,-2.0,-1.0,binary_loss
C,2024-01-01T00:33:00+00:00,2024-01-01T00:34:00+00:00,long,100.36601364543561,100.45407192801979,4.0,4.0,1.0,binary_win
C,2024-01-01T00:34:00+00:00,2024-01-01T00:35:00+00:00,long,100.45407192801979,100.53864405705042,1.0,1.0,1.0,binary_win
C,2024-01-01T00:35:00+00:00,2024-01-01T00:36:00+00:00,long,100.53864405705042,100.59351641336471,1.0,1.0,1.0,binary_win
C,2024-01-01T00:36:00+00:00,2024-01-01T00:37:00+00:00,long,100.59351641336471,100.33095103401277,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:37:00+00:00,2024-01-01T00:38:00+00:00,long,100.33095103401277,100.28568100730328,2.0,-2.0,-1.0,binary_loss
C,2024-01-01T00:38:00+00:00,2024-01-01T00:39:00+00:00,long,100.28568100730328,100.47489755754182,4.0,4.0,1.0,binary_win
C,2024-01-01T00:39:00+00:00,2024-01-01T00:40:00+00:00,long,100.47489755754182,100.46678042820237,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:40:00+00:00,2024-01-01T00:41:00+00:00,long,100.46678042820237,100.33096185899271,2.0,-2.0,-1.0,binary_loss
C,2024-01-01T00:41:00+00:00,2024-01-01T00:42:00+00:00,long,100.33096185899271,100.29768906522538,4.0,-4.0,-1.0,binary_loss
C,2024-01-01T00:42:00+00:00,2024-01-01T00:43:00+00:00,long,100.29768906522538,100.21291357376293,8.0,-8.0,-1.0,binary_loss
C,2024-01-01T00:43:00+00:00,2024-01-01T00:44:00+00:00,long,100.21291357376293,100.17860747836545,16.0,-16.0,-1.0,binary_loss
C,2024-01-01T00:44:00+00:00,2024-01-01T00:45:00+00:00,long,100.17860747836545,100.3349646997427,32.0,32.0,1.0,binary_win
C,2024-01-01T00:45:00+00:00,2024-01-01T00:46:00+00:00,long,100.3349646997427,100.34823785911423,1.0,1.0,1.0,binary_win
C,2024-01-01T00:46:00+00:00,2024-01-01T00:47:00+00:00,long,100.34823785911423,100.26206111777707,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:47:00+00:00,2024-01-01T00:48:00+00:00,long,100.26206111777707,100.20249360057741,2.0,-2.0,-1.0,binary_loss
C,2024-01-01T00:48:00+00:00,2024-01-01T00:49:00+00:00,long,100.20249360057741,100.08628191643035,4.0,-4.0,-1.0,binary_loss
C,2024-01-01T00:49:00+00:00,2024-01-01T00:50:00+00:00,long,100.08628191643035,100.17920526053446,8.0,8.0,1.0,binary_win
